"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: Mapping to NCPDP SCRIPT 10.6","Mapping: RIM Mapping","Mapping: FiveWs Pattern Mapping","Mapping: HL7 v2 Mapping"
"Medication","Medication","","","",0,*,"","","","null {[]} {[]}
","Definition of a Medication","This resource is primarily used for the identification and definition of a medication for the purposes of prescribing, dispensing, and administering a medication as well as for making statements about medication use.","","","","","","","","","",,,,,"",,,,"Medication",0,*,"","dom-2:If the resource is contained in another resource, it SHALL NOT contain nested Resources {contained.contained.empty()}
dom-3:If the resource is contained in another resource, it SHALL be referred to from elsewhere in the resource or SHALL refer to the containing resource {contained.where((('#'+id in (%resource.descendants().reference | %resource.descendants().as(canonical) | %resource.descendants().as(uri) | %resource.descendants().as(url))) or descendants().where(reference = '#').exists() or descendants().where(as(canonical) = '#').exists() or descendants().where(as(canonical) = '#').exists()).not()).trace('unmatched', id).empty()}dom-4:If a resource is contained in another resource, it SHALL NOT have a meta.versionId or a meta.lastUpdated {contained.meta.versionId.empty() and contained.meta.lastUpdated.empty()}dom-5:If a resource is contained in another resource, it SHALL NOT have a security label {contained.meta.security.empty()}dom-6:A resource should have narrative for robust management {text.`div`.exists()}","NewRx/MedicationPrescribed-or-RxFill/MedicationDispensed-or-RxHistoryResponse/MedicationDispensed-or-RxHistoryResponse/MedicationPrescribed","Entity. Role, or Act","ManufacturedProduct[classCode=ADMM]"
"Medication.id","Medication.id","","","",0,1,"","","Y","id {[]} {[]}
","Logical id of this artifact","The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.","The only time that a resource does not have an id is when it is being submitted to the server using a create operation.","","","","","","","","",,,,,"",,,,"Resource.id",0,1,"",""
"Medication.meta","Medication.meta","","","",0,1,"","","Y","Meta {[]} {[]}
","Metadata about the resource","The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.","","","","","","","","","",,,,,"",,,,"Resource.meta",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Medication.implicitRules","Medication.implicitRules","","","",0,1,"","Y","Y","uri {[]} {[]}
","A set of rules under which this content was created","A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.","Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of it's narrative along with other profiles, value sets, etc.","","","","","","","","",,,,,"",,,,"Resource.implicitRules",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Medication.language","Medication.language","","","",0,1,"","","","code {[]} {[]}
","Language of the resource content","The base language in which the resource is written.","Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).","","","","","","","","",,"preferred","A human language.","http://hl7.org/fhir/ValueSet/languages|4.0.1","",,,,"Resource.language",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"Medication.text","Medication.text","","narrative
htmlxhtmldisplay","",0,1,"","","","Narrative {[]} {[]}
","Text summary of the resource, for human interpretation","A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.","Contained resources do not have narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.","","","","","","","","",,,,,"",,,,"DomainResource.text",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
","Act.text?"
"Medication.contained","Medication.contained","","inline resources
anonymous resourcescontained resources","",0,*,"","","","Resource {[]} {[]}
","Contained, inline Resources","These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, and nor can they have their own independent transaction scope.","This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags In their meta elements, but SHALL NOT have security labels.","","","","","","","","",,,,,"",,,,"DomainResource.contained",0,*,"","","N/A"
"Medication.extension","Medication.extension","","","",0,*,"","","","Extension {[]} {[]}
","Extension","An Extension","","","","","","","","","",,,,,"","value:url}
","",,"open","DomainResource.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationBrandName","Medication.extension","MedicationBrandName","","",0,1,"Y","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-brand-name]]} {[]}
","Brand name of the medication","The marketed brand name for the medication (e.g., 'Budesonide Te Arai', 'Gaviscon Infant')","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationPackageSize","Medication.extension","MedicationPackageSize","","",0,1,"Y","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-package-size]]} {[]}
","Package size/quantity","The quantity of medication per pack (e.g., '30' for 30 sachets, '100' for 100 tablets)","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationUnitOfMeasure","Medication.extension","MedicationUnitOfMeasure","","",0,1,"Y","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-unit-of-measure]]} {[]}
","Unit of measure","The unit used for the package size (e.g., 'tab', 'cap', 'ml', 'sach')","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationRank","Medication.extension","MedicationRank","","",0,1,"Y","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-rank]]} {[]}
","Medication preference rank","The preference rank for this medication in the schedule (1=preferred, 2=less preferred, 3=least preferred)","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationATCCategory1","Medication.extension","MedicationATCCategory1","","",0,1,"","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-atc-category-1]]} {[]}
","ATC Category Level 1","First level ATC classification (e.g., 'Alimentary tract and metabolism')","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationATCCategory2","Medication.extension","MedicationATCCategory2","","",0,1,"","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-atc-category-2]]} {[]}
","ATC Category Level 2","Second level ATC classification (e.g., 'Drugs for acid related disorders')","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationATCCategory3","Medication.extension","MedicationATCCategory3","","",0,1,"","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-atc-category-3]]} {[]}
","ATC Category Level 3","Third level ATC classification (e.g., 'Antacids')","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationProductMultiple","Medication.extension","MedicationProductMultiple","","",0,1,"","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-product-multiple]]} {[]}
","Product multiple applies","Indicates whether this pack uses product multiples when calculating pricing or claims.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationProductMultiplier","Medication.extension","MedicationProductMultiplier","","",0,1,"","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-product-multiplier]]} {[]}
","Product multiplier value","Numeric multiplier applied when calculating pricing or claims for this pack.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"Medication.extension:MedicationOriginalPack","Medication.extension","MedicationOriginalPack","","",0,1,"","","","Extension {[CanonicalType[https://fhir-ig.digital.health.nz/pharmac-schedules/StructureDefinition/medication-original-pack]]} {[]}
","Original pack flag","Indicates whether this pack represents the original pack supplied by the manufacturer.","","","","","","","","","",,,,,"",,,,"DomainResource.extension",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
